k_device,k_ts,k_model,调整值,反馈意见,简要分析,标签,工区建议
1302,2025/10/1 4:00,"NB--1302槽4点换极之后浓度变大,工区长认为应该拉NB。模型推荐缩NB -5",,"1302槽4点换极之后浓度变大,工区长认为应该拉NB。模型推荐缩NB -5","可能换极前后A3,A13阳极电流异常",换极,加
1305,2025/10/1 10:00,NB--1305槽12点电压异常但是浓度正常，模型推荐缩NB -10。,,1305槽12点电压异常但是浓度正常，模型推荐缩NB -10。,效应引起电压超高、特征失效,"电压超上限,效应",不动
1307,2025/10/1 10:00,NB--1307槽10点时换极，浓度大。工区长认为模型不应该缩nb。,,1307槽10点时换极，浓度大。工区长认为模型不应该缩nb。,换极后电压超上限,"电压超上限,换极",不动
1324,2025/10/1 15:00,NB--1324不应该缩NB该槽偏冷导致电压偏高,,1324不应该缩NB该槽偏冷导致电压偏高,11:30走反未识别,走反,不动
1305,2025/10/1 17:00,NB--1305走反，模型推荐缩NB,,1305走反，模型推荐缩NB,7:00效应和走反未识别,"走反,效应",不动
1319,2025/10/2 5:00,NB--1319槽换极后浓度大。模型推荐缩NB,,1319槽换极后浓度大。模型推荐缩NB,换极后电压偏高导致的错误,"电压超上限,换极",不动
1307,2025/10/2 6:00,NB--1307长时间浓度大，在6：50未及时拉开,,1307长时间浓度大，在6：50未及时拉开,证据正确但数值大小不到推出,"特征权重,实时性",加
1308,2025/10/2 6:00,NB--1308频繁缩nb，导致浓度越走越大,,1308频繁缩nb，导致浓度越走越大,换极期间局部效应未识别，浓度由低变高,"换极,效应",不动
1323,2025/10/2 13:00,NB--1323槽浓度一直偏大，模型没有及时拉开NB。,,,,,
1316,2025/10/2 13:00,NB--1316换极后浓度大，客户认为模型不应该缩nb,,1316换极后浓度大，客户认为模型不应该缩nb,最近一个周期突然由过量转大欠量,"换极,实时性",不动
1325,2025/10/2 11:00,NB--客户认为1325槽局部火眼。NB一缩再缩不合适。,,客户认为1325槽局部火眼。NB一缩再缩不合适。,电压曲线持续浓度高，但过欠比不稳定,实时性,不动
1334,2025/10/3 10:00,NB--物料有波动时，NB调整反应太慢,,物料有波动时，NB调整反应太慢,冷槽，走过量缩NB，但疑似走反未识别,"电压超上限,走反",加
1317,2025/10/3 9:00,NB--客户认为1317在9：00时浓度合适，不需要拉NB。但模型推荐拉NB。,,客户认为1317在9：00时浓度合适，不需要拉NB。但模型推荐拉NB。,,特征权重,不动
1330,2025/10/3 22:00,"NB--1330换极后摆浓度大，又缩nb,导致曲线平稳后浓度太大，未及时拉开",,"1330换极后摆浓度大，又缩nb,导致曲线平稳后浓度太大，未及时拉开",电压摆动后压差偏高导致的错误,电压超上限,加
1322,2025/10/3 4:00,NB--客户认为1322浓度走大，模型没有及时拉开NB,,客户认为1322浓度走大，模型没有及时拉开NB,早上7点的时候模型发现压差偏低走欠量，说明这时浓度已经大。但是模型没有拉NB。,特征权重,加
1316,2025/10/3 12:00,NB--1316槽在12点未识别出走反。模型推荐缩NB。,,1316槽在12点未识别出走反。模型推荐缩NB。,疑似未识别出走反,走反,加
1303,2025/10/3 12:00,NB--1303槽在12点时浓度偏大，模型推荐缩NB。,,1303槽在12点时浓度偏大，模型推荐缩NB。,1303槽 12点缩NB ，是数据20分钟的延迟，没有考虑到当下在走欠量。,数据延迟,加
1321,2025/10/3 14:00,NB--客户认为1321浓度一直偏大，在13：43时模型应该拉Nb。,,客户认为1321浓度一直偏大，在13：43时模型应该拉Nb。,10：00-14：00电压高位运行并且走大欠量，这应该是浓度大。模型推荐识别出拉NB，但处于换极期。,换极,加
1304,2025/10/3 14:00,NB--客户认为1304应该把NB拉开，从95拉到105。现在NB太低了。,,客户认为1304应该把NB拉开，从95拉到105。现在NB太低了。,,,加
1304,2025/10/3 16:00,NB--展工区长认为1304这个得抓紧拉开10秒了，再不拉就摆了。,,展工区长认为1304这个得抓紧拉开10秒了，再不拉就摆了。,槽控机多次走欠量，且有向下的电压振动。但模型认为过欠比正常。,过欠比,加
1315,2025/10/3 15:00,NB--客户认为并不是电压走上限就要缩nb，要结合浓度曲线和针振，,,,,,
1332,2025/10/3 17:00,NB--客户S认为1332的NB没有必要调整，从下面的下料频率看，操控机已经多下了很多料了，再缩nb只会造成浓度大,,客户S认为1332的NB没有必要调整，从下面的下料频率看，操控机已经多下了很多料了，再缩nb只会造成浓度大,模型从13点到16点认为过欠比正常。17点应该不是过量。,过欠比,不动
1314,2025/10/5 9:00,NB--三厂二区P认为1314槽在9：00时应该拉NB，但是模型没有推荐拉NB。,,三厂二区P认为1314槽在9：00时应该拉NB，但是模型没有推荐拉NB。,,过欠比,加
1328,2025/10/9 17:00,NB--客户耿国庆认为1328该缩NB了，缺料导致频繁效应,,客户耿国庆认为1328该缩NB了，缺料导致频繁效应,模型从电压角度来分析，没能判断出浓度变低。上午9点模型认为电压走下限，拉NB。15点的时候浓度低导致效应。volt_residue_mean_6P在15点的时候为过低，所以模型没有缩NB。,浓度,减
1331,2025/10/10 9:00,NB--客户Z认为浓度偏大很长时间了，nb未推送调整。,,客户Z认为浓度偏大很长时间了，nb未推送调整。,模型推荐拉NB是对的，但是推荐值高于上限。换极后浓度变大，槽控机采取走欠量下料、人工也选择停料。这说明确实浓度大。,上下限,加
1313,2025/10/10 8:00,NB--客户P认为浓度本身不大，换极后不应该缩NB。,,客户P认为浓度本身不大，换极后不应该缩NB。,模型因为Na含量高所以推荐缩NB。换极后电压升高，槽控机相应的降低极距，电压明显得到控制。缩NB后槽控机走大欠量，说明此时浓度应该还是高，否则槽控机不会走大欠量。,"Na含量,换极",不动
1306,2025/10/10 9:00,NB--客户P认为浓度本身不大，换极后不应该缩NB。,,客户P认为浓度本身不大，换极后不应该缩NB。,,"换极,压差过高",不动
1312,2025/10/10 9:00,NB--客户P认为浓度本身不大，换极后不应该缩NB。,,客户P认为浓度本身不大，换极后不应该缩NB。,模型认为9点之前的6个下料周期压差偏高，所以缩NB。但是这6个周期里面电压呈下降趋势，这时候NB是否可以不缩？,"换极,压差过高",不动
1309,2025/10/10 9:00,NB--客户梁怀坤认为槽1309在9点的时候浓度大，不应该缩NB。,,客户梁怀坤认为槽1309在9点的时候浓度大，不应该缩NB。,因为换极导致效应，导至电压偏高。模型认为电压偏高所以缩NB。从电流分布来看，换极后局部浓度变大。,"换极,效应",加
1313,2025/10/10 12:00,NB--P认为换极后不应该缩NB,,P认为换极后不应该缩NB,缩NB后槽控机走大欠量。然后模型识别到走欠量，开始拉NB。是否可以不缩NB？,换极,不动
1311,2025/10/10 16:00,NB--为什么缩NB？,,为什么缩NB？,电压超高导致模型误认为浓度低，所以模型缩了5个NB。,电压超上限,
